day,phrase_id,friendly_latin,video_scene_target,poster_target
1,taxi-001,bghit nmshi l-otel,assets/video/day01/taxi-001-scene.mp4,assets/images/video-posters/taxi-001-scene.jpg
1,taxi-002,weqef hna aafak,assets/video/day01/taxi-002-scene.mp4,assets/images/video-posters/taxi-002-scene.jpg
1,taxi-003,sir nishan aafak,assets/video/day01/taxi-003-scene.mp4,assets/images/video-posters/taxi-003-scene.jpg
1,taxi-004,dor l-limn aafak,,
1,taxi-005,hna mezian,,
2,cafe-001,qahwa kahla aafak,assets/video/day02/cafe-001-scene.mp4,assets/images/video-posters/day02/cafe-001-scene.jpg
2,cafe-002,atay b naanaa aafak,,
2,cafe-003,bla sokar aafak,,
2,cafe-004,l-ma aafak,,
2,cafe-005,l-hssab aafak,,
3,market-001,bsh-hal hada?,assets/video/day03/market-001-scene.mp4,assets/images/video-posters/day03/market-001-scene.jpg
3,market-002,ghali bzaf,,
3,market-003,nqess shwiya aafak,,
3,market-004,shno akher taman?,,
3,market-005,bghit nshri hada,,
4,day04-salam-001,salam,,
4,day04-labas-002,labas?,,
4,day04-bikhir-lhamdullah-003,"bikhir, lhamdullah",,
4,day04-shukran-004,shukran,,
4,day04-bslama-005,bslama,,
5,day05-aafak-001,aafak,,
5,day05-smh-liya-002,smh liya,,
5,day05-maashi-mushkil-003,maashi mushkil,,
5,day05-wakha-004,wakha,,
5,day05-la-shukran-005,la shukran,,
6,day06-smiti-john-001,smiti John,,
6,day06-ana-mn-002,ana mn...,,
6,day06-ana-mn-mirikan-003,ana mn mirikan,,
6,day06-msharfin-004,msharfin,,
6,day06-ana-turist-005,ana turist,,
7,day07-ma-fhemtsh-001,ma fhemtsh,,
7,day07-bshwiya-aafak-002,bshwiya aafak,,
7,day07-aawed-aafak-003,aawed aafak,,
7,day07-wash-kat-hder-english-004,wash kat-hder English?,,
7,day07-shnu-glti-005,shnu glti?,,
8,day08-iyeh-001,iyeh,,
8,day08-0la-002,la,,
8,day08-momkin-003,momkin,,
8,day08-bghit-004,bghit...,,
8,day08-ma-bghitsh-005,ma bghitsh,,
9,day09-bsh-hal-taman-001,bsh-hal taman?,,
9,day09-shaal-l-compteur-aafak-002,shaal l-compteur aafak,,
9,day09-ghali-bzaf-003,ghali bzaf,,
9,day09-la-shukran-004,"la, shukran",,
9,day09-wakha-005,wakha,,
10,day10-wqef-hna-aafak-001,wqef hna aafak,,
10,day10-sir-nishan-002,sir nishan,,
10,day10-dur-l-limen-003,dur l-limen,,
10,day10-dur-l-lisar-004,dur l-lisar,,
10,day10-hna-mezian-005,hna mezian,,
11,day11-fin-l-mahatta-001,fin l-mahatta?,,
11,day11-fin-l-mtar-002,fin l-mtar?,,
11,day11-bghit-ticket-l-003,bghit ticket l...,,
11,day11-shhal-f-saa-004,shhal f saa?,,
11,day11-wash-baqi-kayn-005,wash baqi kayn?,,
12,day12-tliit-001,tliit,,
12,day12-fin-kayn-002,fin kayn ...?,,
12,day12-qreb-wla-b3id-003,qreb wla b3id?,,
12,day12-aaweni-aafak-004,aaweni aafak,,
12,day12-shukran-bzaf-005,shukran bzaf,,
13,day13-bla-sokkar-001,bla sokkar,,
13,day13-b-l-hlib-002,b l-hlib,,
13,day13-messous-003,messous,,
13,day13-shwiya-sokkar-004,shwiya sokkar,,
13,day13-ma-bghitsh-sokkar-005,ma bghitsh sokkar,,
14,day14-bghit-menu-001,bghit menu,,
14,day14-shnu-kayn-002,shnu kayn?,,
14,day14-bghit-tajine-003,bghit tajine,,
14,day14-bghit-couscous-004,bghit couscous,,
14,day14-hadshi-bnin-005,hadshi bnin,,
15,day15-l-hssab-aafak-001,l-hssab aafak,,
15,day15-bsh-hal-002,bsh-hal?,,
15,day15-nkhlles-b-carte-003,nkhlles b carte?,,
15,day15-cash-004,cash?,,
15,day15-safi-shukran-005,safi shukran,,
16,day16-ana-vegetariyan-001,ana vegetariyan,,
16,day16-ma-kan-akolsh-l-hm-002,ma kan-akolsh l-hm,,
16,day16-wash-fih-l-hlib-003,wash fih l-hlib?,,
16,day16-wash-fih-l-bid-004,wash fih l-bid?,,
16,day16-bla-aafak-005,bla ... aafak,,
17,day17-bsh-hal-hada-001,bsh-hal hada?,,
17,day17-bsh-hal-hadi-002,bsh-hal hadi?,,
17,day17-shhal-taman-003,shhal taman?,,
17,day17-hada-zwin-004,hada zwin,,
17,day17-bghit-nshuf-005,bghit nshuf,,
